          DH  INJV           Xt           Mt          XMt          NDH
    -0.04766   0.1      0.00000      0.00000      0.00000      0.00000
    -0.01955   0.2      0.00000      0.00000      0.00000      0.00000
    -0.10055   0.4      0.00000      0.00000      0.00000      0.00000
    -0.12112   0.8      0.00000      0.00000      0.00000      0.00000
    -0.21452   1.6      0.00000      0.00000      0.00000      0.00000
    -0.55211   3.2      0.00000      0.00000      0.00000      0.00000
    -1.09632   6.4      0.00000      0.00000      0.00000      0.00000
    -2.08446  12.8      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
