DH	INJV	Xt	Mt	XMt	NDH
-0.53409	12	0	1	0.0084	-44.50775
-0.36526	12	0.00833	0.99167	0.01688	-30.43804
-0.33365	12	0.0166	0.9834	0.02542	-27.80436
-0.54713	12	0.02479	0.97521	0.03403	-45.59452
-0.19967	12	0.03291	0.96708	0.04272	-16.63933
-0.51669	12	0.04097	0.95902	0.05147	-43.05767
-0.66584	12	0.04895	0.95102	0.06029	-55.48681
-0.40426	12	0.05686	0.94309	0.06919	-33.68825
-0.39195	12	0.0647	0.93522	0.07815	-32.66236
-0.53793	12	0.07248	0.92742	0.08718	-44.82714
-0.57812	12	0.08018	0.91968	0.09629	-48.1766
-0.5524	12	0.08781	0.912	0.10546	-46.03355
-0.44619	12	0.09538	0.90438	0.1147	-37.18248
-0.50413	12	0.10287	0.89683	0.12402	-42.01113
-0.2307	12	0.11029	0.88933	0.1334	-19.22467
-0.33274	12	0.11764	0.88189	0.14285	-27.72797
-0.6626	12	0.12493	0.87451	0.15238	-55.21637
-0.6337	12	0.13214	0.86719	0.16197	-52.80872
-0.51608	12	0.13928	0.85992	0.17164	-43.00702
-0.4121	12	0.14636	0.85271	0.18137	-34.34155
	--	0.15336	0.84556	--	
