DH	INJV	Xt	Mt	XMt	NDH
-125.98263	12	0	0.0709	1.3073	-951.81799
-99.72792	12	0.09192	0.07031	2.62549	-753.45967
-75.81897	12	0.18306	0.06972	3.95458	-572.82391
-61.85796	12	0.27343	0.06914	5.29456	-467.34635
-50.68884	12	0.36303	0.06857	6.64543	-382.96192
-42.12824	12	0.45185	0.06799	8.0072	-318.28527
-37.31099	12	0.5399	0.06743	9.37987	-281.89022
-30.67417	12	0.62719	0.06687	10.76342	-231.74807
-24.35921	12	0.71369	0.06631	12.15787	-184.03754
-20.58683	12	0.79943	0.06575	13.56322	-155.53666
-17.12196	12	0.88439	0.06521	14.97946	-129.35901
-14.59216	12	0.96858	0.06466	16.40659	-110.24602
-11.90133	12	1.052	0.06412	17.84462	-89.91637
-8.34997	12	1.13465	0.06358	19.29354	-63.0853
-6.28989	12	1.21652	0.06305	20.75336	-47.52111
-5.48461	12	1.29762	0.06253	22.22407	-41.43706
-2.49634	12	1.37795	0.062	23.70568	-18.86024
-2.97346	12	1.45751	0.06148	25.19818	-22.46493
-1.5906	12	1.53629	0.06097	26.70157	-12.01721
0.30061	12	1.61431	0.06046	28.21586	2.27112
	--	1.69155	0.05995	--	
