DH	INJV	Xt	Mt	XMt	NDH
-46.9565	12	0	0.03546	1.30717	-709.39841
-33.01212	12	0.04597	0.03516	2.62523	-498.73277
-26.51701	12	0.09155	0.03487	3.95418	-400.60742
-23.65874	12	0.13674	0.03458	5.29402	-357.42604
-19.71654	12	0.18155	0.03429	6.64476	-297.86887
-16.39865	12	0.22597	0.03401	8.0064	-247.74367
-13.9347	12	0.27	0.03372	9.37892	-210.51946
-12.4353	12	0.31365	0.03344	10.76234	-187.86715
-10.51848	12	0.35691	0.03316	12.15665	-158.90859
-9.78996	12	0.39979	0.03289	13.56185	-147.90253
-9.50031	12	0.44228	0.03261	14.97795	-143.52657
-6.61944	12	0.48438	0.03234	16.40494	-100.00364
-6.10808	12	0.5261	0.03207	17.84282	-92.27818
-6.12623	12	0.56743	0.0318	19.2916	-92.55236
-5.11509	12	0.60837	0.03154	20.75127	-77.27648
-3.25459	12	0.64893	0.03127	22.22183	-49.16895
-3.54246	12	0.6891	0.03101	23.70329	-53.51793
-2.83503	12	0.72889	0.03075	25.19564	-42.83042
-2.90646	12	0.76829	0.03049	26.69888	-43.90956
-2.9574	12	0.8073	0.03024	28.21301	-44.67907
	--	0.84593	0.02998	--	
