DH	INVJ	Xt	Mt	XMt	NDH
0.0805982374789	0.2	0.0	0.0313	0	396.762023624
3.13468362446	3.0	0.00100118284869	0.0312691473632	0	1028.74327211
3.04304316792	3.0	0.015901369863	0.0308099804305	0	998.668625225
2.96780999039	3.0	0.030584458475	0.0303575036425	0	973.978533816
2.52206168946	3.0	0.0450551591128	0.0299115718419	0	827.692458226
2.28896411743	3.0	0.0593180469124	0.0294720440402	0	751.194288809
2.07130777089	3.0	0.0733775665399	0.02903878327	0	679.763634567
1.90259155239	3.0	0.0872380368098	0.0286116564417	0	624.394195263
1.74118038811	3.0	0.100903655108	0.0281905342081	0	571.422135182
1.63311978017	3.0	0.114378501629	0.0277752908329	0	535.958708335
1.51780725367	3.0	0.127666543438	0.0273658040665	0	498.11534038
	--	0.140771638366	0.0269619550252	--
