DH	INJV	Xt	Mt	XMt	NDH
0.22695	10	0	0.00995	0.3153	50.88544
-1.05139	10	0.00312	0.00988	0.63281	-235.7378
1.10072	10	0.00621	0.00981	0.95252	246.79782
-1.984	10	0.00928	0.00974	1.27443	-444.8428
0.14392	10	0.01233	0.00967	1.59854	32.26845
-1.70963	10	0.01536	0.00961	1.92486	-383.32612
-1.24843	10	0.01836	0.00954	2.25338	-279.91654
-0.60905	10	0.02135	0.00947	2.5841	-136.55728
0.29643	10	0.02431	0.00941	2.91702	66.46301
-0.23515	10	0.02725	0.00934	3.25215	-52.72489
	--	0.03017	0.00928	--	
