DH	INJV	Xt	Mt	XMt	NDH
-42.9118	10	0	0.00995	0.3153	-9621.48076
-39.04008	10	0.00312	0.00988	0.63281	-8753.3811
-27.12233	10	0.00621	0.00981	0.95252	-6081.24072
-14.76087	10	0.00928	0.00974	1.27443	-3309.61227
-6.6588	10	0.01233	0.00967	1.59854	-1493.00423
-4.93752	10	0.01536	0.00961	1.92486	-1107.06722
-2.49879	10	0.01836	0.00954	2.25338	-560.26576
-2.11271	10	0.02135	0.00947	2.5841	-473.70194
-0.74334	10	0.02431	0.00941	2.91702	-166.66788
-1.40733	10	0.02725	0.00934	3.25215	-315.54375
	--	0.03017	0.00928	--	
