DH	INJV	Xt	Mt	XMt	NDH	Fit	DY
-13.6346	2	0	0.106	0.10894	-823.94219	-814.51412	-9.42807
-47.88274	8	0.01153	0.10585	0.54623	-723.39163	-775.63606	52.24444
-50.19432	8	0.0575	0.10526	0.98594	-758.31404	-716.79739	-41.51665
-45.07423	8	0.10321	0.10468	1.42808	-680.96196	-662.30995	-18.65201
-41.16511	8	0.14866	0.1041	1.87265	-621.9046	-612.02801	-9.8766
-37.2147	8	0.19385	0.10352	2.31966	-562.22361	-565.75678	3.53318
-34.05339	8	0.23879	0.10294	2.76909	-514.46389	-523.26881	8.80491
-32.06831	8	0.28346	0.10237	3.22095	-484.47406	-484.31763	-0.15644
-28.98318	8	0.32788	0.1018	3.67524	-437.86531	-448.64879	10.78348
-26.43693	8	0.37205	0.10123	4.13196	-399.39765	-416.00825	16.61061
-25.62322	8	0.41595	0.10067	4.5911	-387.10441	-386.14854	-0.95587
-23.70627	8	0.4596	0.10011	5.05268	-358.14402	-358.83297	0.68896
-22.29925	8	0.50299	0.09955	5.51669	-336.88737	-333.83839	-3.04899
-20.00395	8	0.54613	0.099	5.98313	-302.21098	-310.95667	8.7457
-18.00423	8	0.589	0.09844	6.45199	-272.00003	-289.99543	17.9954
-18.25467	8	0.63162	0.0979	6.92329	-275.78361	-270.77796	-5.00565
-16.91656	8	0.67398	0.09735	7.39701	-255.56803	-253.14287	-2.42516
-17.18937	8	0.71608	0.09681	7.87317	-259.6895	-236.94329	-22.74621
-14.81744	8	0.75793	0.09627	8.35175	-223.85552	-222.04604	-1.80948
-14.34822	8	0.79952	0.09573	8.83276	-216.76663	-208.33061	-8.43602
-12.76352	8	0.84085	0.0952	9.3162	-192.82568	-195.68813	2.86245
-12.94085	8	0.88192	0.09467	9.80208	-195.5047	-184.02039	-11.48431
-12.66069	8	0.92274	0.09414	10.29038	-191.27215	-173.23882	-18.03333
-10.46029	8	0.9633	0.09361	10.78111	-158.02954	-163.26362	5.23408
-8.97456	8	1.0036	0.09309	11.27427	-135.58378	-154.02287	18.43909
-9.29217	8	1.04364	0.09257	11.76985	-140.38205	-145.45175	5.0697
	--	1.08342	0.09205	--			
