DH	INJV	Xt	Mt	XMt	NDH	Fit	DY
-1.6647	4	0	0.0354	0.21762	--	-312.11381	--
-6.31118	8	0.00768	0.0353	0.65469	-286.0398	-299.03817	12.99837
-6.46386	8	0.02298	0.03511	1.09418	-292.95978	-282.71595	-10.24383
-6.41504	8	0.0382	0.03491	1.5361	-290.74671	-267.60476	-23.14195
-5.36901	8	0.05333	0.03472	1.98044	-243.33818	-253.58982	10.25165
-5.62628	8	0.06837	0.03452	2.42721	-254.99827	-240.56952	-14.42875
-5.14757	8	0.08333	0.03433	2.8764	-233.30187	-228.45364	-4.84824
-4.36789	8	0.0982	0.03414	3.32801	-197.96447	-217.16188	19.19741
-3.94911	8	0.11298	0.03395	3.78205	-178.9845	-206.62258	27.63808
-4.22041	8	0.12768	0.03376	4.23852	-191.28027	-196.77163	5.49136
-3.83833	8	0.1423	0.03357	4.69741	-173.96327	-187.55154	13.58827
-4.43807	8	0.15682	0.03339	5.15872	-201.14548	-178.91062	-22.23486
-4.19624	8	0.17127	0.0332	5.62246	-190.18477	-170.80235	-19.38242
-3.50266	8	0.18562	0.03301	6.08863	-158.75013	-163.18471	4.43458
-3.30864	8	0.19989	0.03283	6.55722	-149.95634	-156.01971	6.06337
-3.0872	8	0.21408	0.03265	7.02823	-139.92027	-149.27292	9.35265
-3.26351	8	0.22818	0.03247	7.50167	-147.91126	-142.9131	-4.99816
-3.04231	8	0.24219	0.03228	7.97753	-137.88581	-136.91183	-0.97398
-2.78927	8	0.25612	0.0321	8.45582	-126.41743	-131.24322	4.82579
-2.8274	8	0.26996	0.03193	8.93653	-128.14555	-125.88365	-2.2619
-2.62708	8	0.28371	0.03175	9.41967	-119.0663	-120.81153	1.74523
-2.7339	8	0.29738	0.03157	9.90523	-123.90767	-116.00711	-7.90057
-2.41472	8	0.31097	0.03139	10.39322	-109.44164	-111.45227	2.01062
-2.39715	8	0.32446	0.03122	10.88363	-108.64517	-107.13038	-1.51478
-2.44805	8	0.33788	0.03104	11.37647	-110.95233	-103.02618	-7.92616
-2.35312	8	0.3512	0.03087	11.87173	-106.64983	-99.12558	-7.52425
-2.12484	8	0.36444	0.0307	12.36942	-96.30351	-95.41562	-0.88789
-1.98132	8	0.3776	0.03053	12.86953	-89.79864	-91.88434	2.0857
-1.95154	8	0.39067	0.03036	13.37207	-88.44898	-88.52068	0.07171
-1.85577	8	0.40365	0.03019	13.87703	-84.10868	-85.31443	1.20575
-1.71193	8	0.41655	0.03002	14.38441	-77.58922	-82.2561	4.66688
	--	0.42936	0.02985	--			
