DH	INJV	Xt	Mt	XMt	NDH	Fit	DY
-67.79528	4	0	0.1418	0.21732	-1536.33258	-1548.8206	12.48801
-138.4755	8	0.03073	0.14141	0.65377	-1569.02081	-1479.45809	-89.56273
-131.19595	8	0.09193	0.14062	1.09264	-1486.53861	-1389.20275	-97.33587
-117.85119	8	0.15279	0.13984	1.53393	-1335.33345	-1302.02948	-33.30397
-105.9923	8	0.21331	0.13906	1.97765	-1200.96423	-1218.38073	17.41649
-97.13869	8	0.27348	0.13828	2.42378	-1100.64688	-1138.59526	37.94838
-89.83779	8	0.33331	0.13751	2.87234	-1017.92279	-1062.90913	44.98635
-82.49034	8	0.39279	0.13675	3.32332	-934.67113	-991.46176	56.79063
-77.6126	8	0.45193	0.13599	3.77672	-879.4031	-924.30574	44.90265
-71.86529	8	0.51073	0.13523	4.23254	-814.28219	-861.41899	47.1368
-65.79716	8	0.56919	0.13448	4.69078	-745.52617	-802.71786	57.19169
-61.08018	8	0.6273	0.13373	5.15145	-692.07966	-748.07027	55.99061
-59.32768	8	0.68507	0.13299	5.61453	-672.22265	-697.30798	25.08533
-54.7574	8	0.74249	0.13224	6.08004	-620.43829	-650.23756	29.79927
-52.09981	8	0.79957	0.13151	6.54797	-590.32594	-606.64979	16.32385
-48.0331	8	0.85631	0.13078	7.01832	-544.24746	-566.32744	22.07998
-46.10356	8	0.91271	0.13005	7.49109	-522.3844	-529.05149	6.66709
-43.00435	8	0.96876	0.12932	7.96628	-487.2683	-494.60584	7.33753
-42.07382	8	1.02447	0.1286	8.44389	-476.72474	-462.78088	-13.94385
-39.92388	8	1.07983	0.12788	8.92393	-452.36454	-433.37595	-18.98859
-39.29636	8	1.13485	0.12717	9.40639	-445.25429	-406.20095	-39.05334
-38.06455	8	1.18953	0.12646	9.89126	-431.29708	-381.07732	-50.21976
-36.77224	8	1.24387	0.12575	10.37856	-416.65428	-357.83844	-58.81584
-34.23747	8	1.29786	0.12505	10.86828	-387.93361	-336.32969	-51.60392
-32.08043	8	1.35151	0.12435	11.36042	-363.49292	-316.40823	-47.08469
-24.14664	8	1.40481	0.12366	11.85499	-273.59777	-297.94254	24.34477
-26.33735	8	1.45777	0.12297	12.35197	-298.41998	-280.81184	-17.60814
-22.45949	8	1.51039	0.12228	12.85138	-254.4812	-264.90552	10.42432
-23.08999	8	1.56267	0.1216	13.35321	-261.62517	-250.12238	-11.50278
-25.63586	8	1.6146	0.12091	13.85745	-290.47158	-236.36999	-54.10159
-19.55766	8	1.66619	0.12024	14.36412	-221.60152	-223.56399	1.96246
	--	1.71743	0.11956	--			
