DH	INJV	Xt	Mt	XMt	NDH
28.96231	2	0	0.424	0.11521	413.74728
136.95966	8	0.04878	0.42341	0.57765	489.14164
142.21031	8	0.24322	0.42105	1.04266	507.89398
145.40202	8	0.43657	0.41871	1.51024	519.29292
146.25137	8	0.62884	0.41638	1.98039	522.32632
147.24656	8	0.82001	0.41406	2.45311	525.88058
147.59108	8	1.01009	0.41176	2.92839	527.11099
147.06138	8	1.19909	0.40947	3.40625	525.21922
146.67492	8	1.38699	0.40719	3.88667	523.839
145.47128	8	1.57381	0.40492	4.36967	519.54027
144.44829	8	1.75953	0.40267	4.85523	515.88677
143.89427	8	1.94417	0.40043	5.34336	513.90809
143.28465	8	2.12772	0.3982	5.83406	511.73089
142.07987	8	2.31018	0.39598	6.32733	507.4281
140.9717	8	2.49155	0.39378	6.82317	503.47034
138.69738	8	2.67183	0.39158	7.32158	495.34779
138.35982	8	2.85102	0.3894	7.82256	494.14221
136.93262	8	3.02912	0.38723	8.32611	489.04509
135.76641	8	3.20613	0.38507	8.83222	484.88003
135.46456	8	3.38206	0.38292	9.34091	483.80198
133.73802	8	3.55689	0.38079	9.85216	477.63578
132.71732	8	3.73063	0.37866	10.36599	473.99043
131.44684	8	3.90329	0.37655	10.88238	469.45301
130.21208	8	4.07485	0.37445	11.40134	465.04316
129.41293	8	4.24533	0.37235	11.92287	462.18904
127.51945	8	4.41472	0.37027	12.44697	455.42659
126.40446	8	4.58301	0.3682	12.97364	451.4445
125.12527	8	4.75022	0.36614	13.50288	446.87597
123.61967	8	4.91634	0.3641	14.03468	441.49882
123.0495	8	5.08137	0.36206	14.56906	439.46251
121.39933	8	5.24531	0.36003	15.10601	433.56904
119.74577	8	5.40816	0.35801	15.64552	427.66346
118.26752	8	5.56993	0.35601	16.1876	422.38399
117.40738	8	5.7306	0.35401	16.73226	419.31207
115.89319	8	5.89018	0.35203	17.27948	413.90425
114.82842	8	6.04868	0.35005	17.82927	410.1015
113.20387	8	6.20608	0.34808	18.38163	404.29953
112.01267	8	6.3624	0.34613	18.93656	400.04526
	--	6.51762	0.34418	--	
