DH	INJV	Xt	Mt	XMt	NDH	DY	Fit
-5.76524	8	0	0.212	0.26389	123.84173	3.16106	120.68068
-4.57728	8	0.05563	0.21082	0.52924	139.83415	-3.51613	143.35028
-1.72557	8	0.11095	0.20965	0.79606	169.97229	8.18245	161.78985
-0.41337	8	0.16596	0.20848	1.06435	172.72863	-3.82198	176.55061
1.51139	8	0.22066	0.20732	1.33411	183.87196	-4.25803	188.12999
3.05461	8	0.27505	0.20617	1.60533	193.65352	-3.31929	196.97281
4.48161	8	0.32913	0.20502	1.87802	199.28429	-4.18926	203.47355
5.31567	8	0.38289	0.20388	2.15219	210.459	2.47917	207.97983
5.98907	8	0.43634	0.20274	2.42782	202.75116	-8.04499	210.79616
7.55262	8	0.48949	0.20162	2.70491	207.81211	-4.37582	212.18793
9.04881	8	0.54232	0.20049	2.98348	221.66775	9.28226	212.38548
10.13924	8	0.59484	0.19938	3.26351	218.89837	7.31046	211.58791
10.45342	8	0.64705	0.19827	3.54501	214.37827	4.41153	209.96675
11.62114	8	0.69895	0.19716	3.82798	210.18681	2.51753	207.66929
11.30894	8	0.75053	0.19606	4.11242	209.12157	4.29989	204.82168
12.17528	8	0.80181	0.19497	4.39833	200.72362	-0.8079	201.53152
12.14305	8	0.85277	0.19389	4.6857	198.90491	1.01417	197.89074
12.10412	8	0.90342	0.1928	4.97454	188.19591	-5.78118	193.97709
12.34428	8	0.95376	0.19173	5.26485	189.73274	-0.12387	189.85661
12.38627	8	1.0038	0.19066	5.55663	183.01842	-2.56658	185.58501
12.35858	8	1.05351	0.1896	5.84988	182.55785	1.34865	181.2092
11.61797	8	1.10292	0.18854	6.14459	177.21248	0.44392	176.76856
11.94664	8	1.15202	0.18748	6.44078	162.2347	-10.06125	172.29595
12.83941	8	1.2008	0.18644	6.73843	169.97427	2.15552	167.81875
12.88117	8	1.24928	0.1854	7.03755	175.16952	11.80994	163.35958
11.94945	8	1.29744	0.18436	7.33813	156.44347	-2.49357	158.93704
12.0265	8	1.34529	0.18333	7.64019	150.69572	-3.87061	154.56634
11.92699	8	1.39283	0.1823	7.94371	149.9557	-0.30402	150.25972
12.52363	8	1.44006	0.18128	8.2487	150.32118	4.2942	146.02698
11.1013	8	1.48698	0.18027	8.55516	135.45127	-6.42456	141.87582
	--	1.53359	0.17926	--			
