DH	INJV	Xt	Mt	XMt	NDH
38.79759	4	0	0.13	0.44048	473.14136
134.76871	10	0.0571	0.12964	1.54705	657.40834
137.03529	10	0.19916	0.12874	2.66129	668.46484
137.05379	10	0.34023	0.12784	3.78319	668.5551
135.49755	10	0.48029	0.12695	4.91277	660.96367
132.25532	10	0.61936	0.12607	6.05001	645.1479
129.25401	10	0.75743	0.1252	7.19492	630.50735
126.79408	10	0.89451	0.12432	8.3475	618.5077
124.48587	10	1.03058	0.12346	9.50775	607.24812
120.61431	10	1.16567	0.1226	10.67567	588.36249
118.32514	10	1.29975	0.12175	11.85126	577.19581
115.0716	10	1.43284	0.1209	13.03451	561.32488
112.30697	10	1.56493	0.12006	14.22543	547.8389
108.3581	10	1.69602	0.11922	15.42402	528.57611
105.68177	10	1.82612	0.11839	16.63028	515.52082
103.38979	10	1.95522	0.11757	17.84421	504.34044
100.99413	10	2.08332	0.11675	19.06581	492.65431
98.12715	10	2.21043	0.11594	20.29508	478.66901
96.31749	10	2.33654	0.11513	21.53201	469.84141
94.19535	10	2.46165	0.11433	22.77661	459.48952
92.38009	10	2.58576	0.11353	24.02888	450.63456
90.50607	10	2.70888	0.11273	25.28882	441.49303
88.07186	10	2.831	0.11195	26.55643	429.61883
86.62898	10	2.95213	0.11116	27.83171	422.5804
85.28831	10	3.07225	0.11039	29.11465	416.04055
83.02491	10	3.19139	0.10961	30.40527	404.99956
81.05278	10	3.30952	0.10885	31.70355	395.37941
79.4685	10	3.42666	0.10808	33.0095	387.65124
77.62287	10	3.5428	0.10733	34.32312	378.64814
75.50105	10	3.65794	0.10657	35.64441	368.2978
	--	3.77208	0.10583	--	
