          DH  INJV           Xt           Mt          XMt          NDH
    -0.05592   0.2      0.00000      0.00000      0.00000      0.00000
    -0.64358   3.0      0.00000      0.00000      0.00000      0.00000
    -0.45585   3.0      0.00000      0.00000      0.00000      0.00000
    -0.38548   3.0      0.00000      0.00000      0.00000      0.00000
    -0.25528   3.0      0.00000      0.00000      0.00000      0.00000
    -0.20041   3.0      0.00000      0.00000      0.00000      0.00000
    -0.31590   3.0      0.00000      0.00000      0.00000      0.00000
    -0.50818   3.0      0.00000      0.00000      0.00000      0.00000
    -0.55712   3.0      0.00000      0.00000      0.00000      0.00000
    -0.63835   3.0      0.00000      0.00000      0.00000      0.00000
    -0.71533   3.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
