DH	INJV	Xt	Mt	XMt	NDH	DY	Fit
-1.71981	2	0	0.05	0.01396	--	--	-2311.95016
-14.72646	12	6.96864E-4	0.04993	0.09811	-2329.40918	-18.70823	-2310.70095
-14.37195	12	0.00486	0.04951	0.18295	-2270.3242	37.74412	-2308.06832
-14.08564	12	0.00898	0.0491	0.2685	-2222.6068	81.9419	-2304.5487
-14.35065	12	0.01307	0.04869	0.35475	-2266.7757	33.04884	-2299.82454
-14.65373	12	0.01713	0.04829	0.4417	-2317.28882	-23.90414	-2293.38468
-14.32842	12	0.02115	0.04788	0.52935	-2263.07071	21.29502	-2284.36574
-14.6232	12	0.02514	0.04748	0.6177	-2312.2004	-40.97813	-2271.22227
-14.20327	12	0.02909	0.04709	0.70676	-2242.21088	8.77548	-2250.98637
-14.19922	12	0.033	0.0467	0.79651	-2241.53696	-24.0838	-2217.45317
-13.80567	12	0.03688	0.04631	0.88696	-2175.94534	-19.62657	-2156.31877
-13.29502	12	0.04073	0.04592	0.97811	-2090.83733	-59.23393	-2031.6034
-11.51811	12	0.04454	0.04554	1.06996	-1794.6851	-37.69526	-1756.98984
-7.86055	12	0.04832	0.04516	1.16251	-1185.0918	52.36995	-1237.46175
-4.53298	12	0.05206	0.04478	1.25577	-630.49672	36.26961	-666.76633
-3.0356	12	0.05576	0.0444	1.34972	-380.93281	-51.37715	-329.55565
-2.03925	12	0.05943	0.04403	1.44437	-214.87425	-37.60795	-177.2663
-1.53349	12	0.06307	0.04366	1.53972	-130.58103	-24.40126	-106.17977
-1.43374	12	0.06667	0.0433	1.63578	-113.9566	-44.74408	-69.21251
-1.47824	12	0.07023	0.04294	1.73253	-121.37282	-73.39298	-47.97984
-1.18521	12	0.07376	0.04258	1.82998	-72.53479	-37.75795	-34.77685
-0.97456	12	0.07726	0.04222	1.92814	-37.42661	-11.39	-26.03661
-1.12616	12	0.08072	0.04186	2.02699	-62.69376	-42.7405	-19.95326
-1.09929	12	0.08415	0.04151	2.12655	-58.21546	-42.67375	-15.54171
	--	0.08754	0.04116	--			
