DH	INJV	Xt	Mt	XMt	NDH	DY	Fit
-1.87875	2	0	0.05	0.01396	--	--	-2222.84427
-13.68294	12	6.96864E-4	0.04993	0.09811	-2180.49081	40.34779	-2220.8386
-13.92536	12	0.00486	0.04951	0.18295	-2220.89351	-4.35792	-2216.53559
-13.63775	12	0.00898	0.0491	0.2685	-2172.95869	37.63491	-2210.5936
-13.97911	12	0.01307	0.04869	0.35475	-2229.85131	-27.63917	-2202.21215
-13.77388	12	0.01713	0.04829	0.4417	-2195.64634	-5.66681	-2189.97954
-13.46633	12	0.02115	0.04788	0.52935	-2144.38842	26.84681	-2171.23523
-13.64461	12	0.02514	0.04748	0.6177	-2174.10137	-33.55084	-2140.55053
-13.15668	12	0.02909	0.04709	0.70676	-2092.78	-6.98705	-2085.79294
-12.73324	12	0.033	0.0467	0.79651	-2022.20743	-44.72231	-1977.48512
-11.01365	12	0.03688	0.04631	0.88696	-1735.60897	9.88171	-1745.49069
-8.30781	12	0.04073	0.04592	0.97811	-1284.63428	10.26701	-1294.90129
-5.02817	12	0.04454	0.04554	1.06996	-738.02857	4.3966	-742.42517
-2.80974	12	0.04832	0.04516	1.16251	-368.2903	6.97528	-375.26557
-1.87721	12	0.05206	0.04478	1.25577	-212.86889	-11.98325	-200.88564
-1.51662	12	0.05576	0.0444	1.34972	-152.76947	-33.56989	-119.19957
-1.12807	12	0.05943	0.04403	1.44437	-88.01197	-10.88296	-77.12901
-1.0694	12	0.06307	0.04366	1.53972	-78.23311	-24.99366	-53.23945
-0.92925	12	0.06667	0.0433	1.63578	-54.87536	-16.33376	-38.5416
-0.78027	12	0.07023	0.04294	1.73253	-30.04565	-1.14062	-28.90503
-0.75343	12	0.07376	0.04258	1.82998	-25.5718	-3.31468	-22.25712
-0.7562	12	0.07726	0.04222	1.92814	-26.03415	-8.5574	-17.47676
-0.823	12	0.08072	0.04186	2.02699	-37.16707	-23.24854	-13.91854
-0.67801	12	0.08415	0.04151	2.12655	-13.00225	-1.8111	-11.19115
	--	0.08754	0.04116	--			
