DH	INJV	Xt	Mt	XMt	NDH
-27.7243	12	0	0.1	0.08403	-2310.35831
-28.99697	12	0.00833	0.09917	0.16876	-2416.41394
-28.92312	12	0.0166	0.09834	0.2542	-2410.26019
-28.84158	12	0.02479	0.09752	0.34033	-2403.46478
-28.82591	12	0.03291	0.09671	0.42716	-2402.15925
-28.88749	12	0.04097	0.0959	0.5147	-2407.29086
-28.00774	12	0.04895	0.0951	0.60293	-2333.97829
-27.33818	12	0.05686	0.09431	0.69186	-2278.18126
-20.6513	12	0.0647	0.09352	0.7815	-1720.94176
-9.1398	12	0.07248	0.09274	0.87183	-761.64959
-3.76144	12	0.08018	0.09197	0.96287	-313.45321
-1.94389	12	0.08781	0.0912	1.0546	-161.99108
-1.62777	12	0.09538	0.09044	1.14704	-135.64779
-1.04579	12	0.10287	0.08968	1.24017	-87.14951
-1.05464	12	0.11029	0.08893	1.33401	-87.88632
-1.03488	12	0.11764	0.08819	1.42855	-86.23992
-1.13012	12	0.12493	0.08745	1.52378	-94.17702
-1.03656	12	0.13214	0.08672	1.61972	-86.37974
-0.75452	12	0.13928	0.08599	1.71636	-62.87657
-0.90189	12	0.14636	0.08527	1.81369	-75.1574
-0.99041	12	0.15336	0.08456	1.91173	-82.53439
-0.85171	12	0.16029	0.08385	2.01047	-70.9761
-0.93279	12	0.16715	0.08314	2.10991	-77.73244
	--	0.17395	0.08244	--	
