DH	INJV	Xt	Mt	XMt	NDH
-22.29931	3	0	0.03	0.13962	-3716.55102
-31.31756	3	0.00418	0.02994	0.27952	-5219.59397
-21.75361	3	0.00835	0.02987	0.41972	-3625.60236
-11.48603	3	0.01251	0.02981	0.56021	-1914.33797
-6.92215	3	0.01667	0.02975	0.701	-1153.69195
-4.93133	3	0.02081	0.02969	0.84207	-821.88883
-3.20784	3	0.02495	0.02963	0.98344	-534.63959
-2.54728	3	0.02907	0.02956	1.1251	-424.54727
-2.88822	3	0.03319	0.0295	1.26705	-481.3701
-2.17078	3	0.0373	0.02944	1.40929	-361.7969
-2.15438	3	0.0414	0.02938	1.55182	-359.06261
-1.95198	3	0.0455	0.02932	1.69465	-325.32922
-1.47434	3	0.04958	0.02926	1.83777	-245.72381
-1.50096	3	0.05365	0.0292	1.98117	-250.15949
-1.14457	3	0.05772	0.02913	2.12488	-190.76237
-0.93509	3	0.06178	0.02907	2.26887	-155.84892
-0.7013	3	0.06583	0.02901	2.41315	-116.88399
-0.73539	3	0.06986	0.02895	2.55773	-122.56537
-0.69615	3	0.0739	0.02889	2.7026	-116.02581
-0.67523	3	0.07792	0.02883	2.84776	-112.53879
-0.9356	3	0.08193	0.02877	2.99321	-155.93391
-0.8729	3	0.08594	0.02871	3.13895	-145.48294
-1.11078	3	0.08993	0.02865	3.28499	-185.13063
-0.97096	3	0.09392	0.02859	3.43131	-161.82596
-1.60015	3	0.0979	0.02853	3.57793	-266.69092
-1.81448	3	0.10187	0.02847	3.72484	-302.41299
-1.68635	3	0.10583	0.02841	3.87204	-281.05778
-1.44559	3	0.10978	0.02835	4.01954	-240.9316
-1.90153	3	0.11372	0.02829	4.16732	-316.92207
-1.85463	3	0.11766	0.02823	4.3154	-309.10581
-2.02529	3	0.12158	0.02817	4.46377	-337.54874
-2.26575	3	0.1255	0.02812	4.61243	-377.62519
-2.18282	3	0.12941	0.02806	4.76138	-363.80302
-2.5225	3	0.13331	0.028	4.91063	-420.41589
-2.39107	3	0.1372	0.02794	5.06016	-398.51085
-2.46205	3	0.14108	0.02788	5.20999	-410.34108
-2.55777	3	0.14496	0.02782	5.36011	-426.29485
-2.51493	3	0.14882	0.02776	5.51052	-419.15471
-2.3826	3	0.15268	0.02771	5.66123	-397.10035
-2.75504	3	0.15652	0.02765	5.81222	-459.17308
-2.73494	3	0.16036	0.02759	5.96351	-455.82267
-2.59098	3	0.16419	0.02753	6.11509	-431.8307
-2.53298	3	0.16801	0.02747	6.26696	-422.16281
-2.84943	3	0.17182	0.02742	6.41912	-474.90487
-2.91203	3	0.17563	0.02736	6.57158	-485.33782
-2.62782	3	0.17942	0.0273	6.72432	-437.96986
-2.88468	3	0.18321	0.02725	6.87736	-480.78041
-2.65145	3	0.18698	0.02719	7.03069	-441.90826
-2.43585	3	0.19075	0.02713	7.18431	-405.97476
-2.54926	3	0.19451	0.02707	7.33822	-424.87638
	--	0.19826	0.02702	--	
