DH	INJV	Xt	Mt	XMt	NDH
6.54677	8	0	0.085	0.32908	163.6692
7.63134	8	0.02782	0.08453	0.65999	190.78342
8.32385	8	0.05548	0.08406	0.99273	208.09622
9.04467	8	0.08298	0.08359	1.32731	226.11683
11.00014	8	0.11033	0.08312	1.66371	275.00341
14.70601	8	0.13752	0.08266	2.00194	367.65036
20.33252	8	0.16456	0.0822	2.34201	508.31304
26.72903	8	0.19145	0.08174	2.6839	668.22576
33.80107	8	0.21817	0.08129	3.02763	845.02666
37.56514	8	0.24474	0.08084	3.37319	939.12841
39.27013	8	0.27116	0.08039	3.72057	981.75324
39.22715	8	0.29742	0.07994	4.06979	980.67868
39.04865	8	0.32352	0.07949	4.42084	976.21635
37.7364	8	0.34947	0.07905	4.77372	943.40991
36.76197	8	0.37527	0.07861	5.12843	919.04934
35.91716	8	0.4009	0.07817	5.48497	897.9291
35.56388	8	0.42639	0.07774	5.84335	889.09688
34.58566	8	0.45171	0.0773	6.20355	864.64155
33.44938	8	0.47688	0.07687	6.56558	836.23446
32.80234	8	0.5019	0.07644	6.92945	820.0584
31.77281	8	0.52676	0.07602	7.29514	794.32028
31.04031	8	0.55146	0.07559	7.66267	776.00776
30.62078	8	0.57601	0.07517	8.03203	765.5194
30.37583	8	0.6004	0.07475	8.40321	759.39568
29.36228	8	0.62464	0.07433	8.77623	734.057
29.05884	8	0.64872	0.07392	9.15108	726.47098
28.63582	8	0.67265	0.0735	9.52776	715.89555
28.09123	8	0.69642	0.07309	9.90627	702.2808
27.60202	8	0.72003	0.07268	10.28661	690.05058
27.28583	8	0.74349	0.07228	10.66879	682.14576
	--	0.76679	0.07187	--	
