DH	INJV	Xt	Mt	XMt	NDH
1.99455	8	0	0.085	0.32908	49.86384
3.25505	8	0.02782	0.08453	0.65999	81.37619
4.34424	8	0.05548	0.08406	0.99273	108.60588
4.82459	8	0.08298	0.08359	1.32731	120.61482
4.92841	8	0.11033	0.08312	1.66371	123.21017
5.70519	8	0.13752	0.08266	2.00194	142.62976
6.52881	8	0.16456	0.0822	2.34201	163.22024
8.4213	8	0.19145	0.08174	2.6839	210.53251
9.66194	8	0.21817	0.08129	3.02763	241.54855
10.84662	8	0.24474	0.08084	3.37319	271.16561
12.31104	8	0.27116	0.08039	3.72057	307.77596
12.85886	8	0.29742	0.07994	4.06979	321.47139
13.7263	8	0.32352	0.07949	4.42084	343.15744
13.79133	8	0.34947	0.07905	4.77372	344.78322
14.36397	8	0.37527	0.07861	5.12843	359.09919
14.00204	8	0.4009	0.07817	5.48497	350.05106
13.48975	8	0.42639	0.07774	5.84335	337.24378
13.42692	8	0.45171	0.0773	6.20355	335.67292
13.61112	8	0.47688	0.07687	6.56558	340.278
13.58993	8	0.5019	0.07644	6.92945	339.74835
13.12147	8	0.52676	0.07602	7.29514	328.03673
13.64479	8	0.55146	0.07559	7.66267	341.11984
13.26561	8	0.57601	0.07517	8.03203	331.64031
13.59451	8	0.6004	0.07475	8.40321	339.86275
12.95382	8	0.62464	0.07433	8.77623	323.84545
12.69116	8	0.64872	0.07392	9.15108	317.27912
13.04925	8	0.67265	0.0735	9.52776	326.23124
12.83764	8	0.69642	0.07309	9.90627	320.94088
12.96537	8	0.72003	0.07268	10.28661	324.13427
12.13434	8	0.74349	0.07228	10.66879	303.35853
	--	0.76679	0.07187	--	
